Well,Sample_Name,Target_Name,Task,Reporter,Quencher,CT
A1,MMF33 cpDNA,YLS8,UNKNOWN,SYBR,None,27.5399437
A2,MMF33 cpDNA,YLS8,UNKNOWN,SYBR,None,27.08076668
A3,MMF33 cpDNA,YLS8,UNKNOWN,SYBR,None,27.06864929
A4,MMF35 cpDNA,YLS8,UNKNOWN,SYBR,None,22.88995743
A5,MMF35 cpDNA,YLS8,UNKNOWN,SYBR,None,22.54771996
A6,MMF35 cpDNA,YLS8,UNKNOWN,SYBR,None,22.21809006
A7,MMF37 cpDNA,YLS8,UNKNOWN,SYBR,None,24.29853439
A8,MMF37 cpDNA,YLS8,UNKNOWN,SYBR,None,23.93408394
A9,MMF37 cpDNA,YLS8,UNKNOWN,SYBR,None,24.33717346
A10,MMF33 gDNA,YLS8,UNKNOWN,SYBR,None,21.95068169
A11,MMF33 gDNA,YLS8,UNKNOWN,SYBR,None,21.18173409
A12,MMF33 gDNA,YLS8,UNKNOWN,SYBR,None,20.87281036
C1,MMF33 cpDNA,15-16,UNKNOWN,SYBR,None,16.45533371
C2,MMF33 cpDNA,15-16,UNKNOWN,SYBR,None,16.12969208
C3,MMF33 cpDNA,15-16,UNKNOWN,SYBR,None,16.07723427
C4,MMF35 cpDNA,15-16,UNKNOWN,SYBR,None,11.70758247
C5,MMF35 cpDNA,15-16,UNKNOWN,SYBR,None,12.06591511
C6,MMF35 cpDNA,15-16,UNKNOWN,SYBR,None,11.67394924
C7,MMF37 cpDNA,15-16,UNKNOWN,SYBR,None,12.95527458
C8,MMF37 cpDNA,15-16,UNKNOWN,SYBR,None,11.99660683
C9,MMF37 cpDNA,15-16,UNKNOWN,SYBR,None,11.36352158
C10,MMF33 gDNA,15-16,UNKNOWN,SYBR,None,11.82963371
C11,MMF33 gDNA,15-16,UNKNOWN,SYBR,None,11.12951756
C12,MMF33 gDNA,15-16,UNKNOWN,SYBR,None,11.03309727
G1,,YLS8,NTC,SYBR,None,Undetermined
G2,,YLS8,NTC,SYBR,None,Undetermined
G4,,15-16,NTC,SYBR,None,33.88806915
G5,,15-16,NTC,SYBR,None,Undetermined
